date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2025-04-26,13.3,9.94,9.75,6.2,,,90,70.1,71.5,53,11.4,4.6,6,0.7,50,31.17,25,0,69,31,102.09,101.3,101.38,100.68,99.98,99.21,99.3,98.62,24100,23900,21700,19300,,,,,8.2,0,4.8,2.8,0,0.2,0.2,0,,06:18:00,1745662680,6.3,20:14:00,1745712840,20.23,13.93,4,4,12,12,4,5,,,,,,8,7.3,7,6,,,,
2025-04-25,18,13.84,14.25,10.5,,,76,65.5,64,52,10,7.5,7.9,5.8,34,15.21,18.5,3,45,10,102.17,101.77,101.61,101.04,100.08,99.69,99.53,98.97,24100,24100,24100,24100,,,,,3.8,0,9.2,7.2,4.2,0,0,0,,06:19:00,1745576340,6.32,20:13:00,1745626380,20.22,13.9,6,6,14,14,10,13,,,,,,8,6.2,4,0,,,,
2025-04-24,22.9,14.42,14.7,6.5,,,71,50.9,54,37,10.2,4.2,4.8,-0.7,17,8.38,8.5,0,,,102.35,102.19,102.19,102.04,100.24,100.09,100.09,99.95,24100,24100,24100,24100,,,,,3.3,0,9.7,7.7,4.7,0,0,0,,06:21:00,1745490060,6.35,20:11:00,1745539860,20.18,13.83,6,6,23,23,10,13,,,,,,8,4.3,4.5,1,,,,
2025-04-23,15.7,9.9,10.39,5.1,,,71,51.9,53.5,36,1.5,0.1,0,-1.5,15,8.25,7.5,0,,,102.51,102.37,102.38,102.25,100.4,100.26,100.27,100.14,24100,24100,24100,24100,,,,,7.6,0,5.4,3.4,0.4,0,0,0,,06:22:00,1745403720,6.37,20:10:00,1745453400,20.17,13.8,6,6,16,16,8,9,,,,,,8,5.7,4.5,1,,,,
2025-04-22,14.8,10.68,10.25,5.7,,,65,52.2,51.5,38,3.7,1,1.6,-0.4,39,25.92,23.5,8,63,28,102.23,101.69,101.72,101.2,100.12,99.59,99.62,99.11,24100,24100,24100,24100,,,,,7.8,0,5.2,3.2,0.2,0,0,0,,06:24:00,1745317440,6.4,20:09:00,1745366940,20.15,13.75,5,7,15,15,3,4,,,,,,7,3.9,3.5,0,,,,
2025-04-21,13,8.04,9,5,,,100,72.5,68.5,37,11.2,2.8,2.4,-6.5,38,17,22,6,57,27,102.56,101.43,101.61,100.66,100.42,99.32,99.5,98.58,24100,22500,16100,8100,,,,,9,0,4,2,0,1.6,1.6,0,,06:25:00,1745231100,6.42,20:08:00,1745280480,20.13,13.72,3,5,10,12,6,7,,,,,,8,6,5,2,,,,
2025-04-20,9.8,5.96,6.1,2.4,,,78,59.9,63.5,49,0.3,-1.4,-1.6,-3.6,31,16.96,18.5,6,43,34,103.22,102.91,102.8,102.38,101.07,100.77,100.67,100.27,24100,24100,24100,24100,,,,,11.9,0,1.1,0,0,0,0,0,,06:27:00,1745144820,6.45,20:07:00,1745194020,20.12,13.67,7,7,10,11,3,4,,,,,,7,3.5,3.5,0,,,,
2025-04-19,22.5,14.84,13.4,4.3,27,,99,75.2,83,67,17.3,10.5,9,0.7,37,24.29,20,3,55,25,102.29,101.17,101.45,100.61,100.19,99.1,99.38,98.56,24100,24100,24100,24100,,,,,4.6,0,8.4,6.4,3.4,0,0,0,,06:29:00,1745058540,6.48,20:06:00,1745107560,20.1,13.62,5,7,21,21,2,3,,,,,,8,6.8,4,0,,,,
2025-04-18,20.5,11.31,12.9,5.3,,,100,58.7,71,42,11.9,3.2,3.6,-4.7,21,9.38,10.5,0,55,14,101.98,101.21,101.27,100.56,99.87,99.12,99.18,98.48,24100,24100,24100,24100,,,,,5.1,0,7.9,5.9,2.9,2.2,2.2,0,,06:30:00,1744972200,6.5,20:04:00,1745021040,20.07,13.57,3,5,20,20,13,16,,,,,,8,7.3,5.5,3,,,,
2025-04-17,12.3,5.82,4.4,-3.5,,-7,78,47.9,52.5,27,-3.5,-5.2,-5.7,-7.8,22,12.12,12.5,3,32,15,102.33,102.14,102.15,101.97,100.19,100,100.01,99.82,24100,24100,24100,24100,,,,,13.6,0,0,0,0,0,0,0,,06:32:00,1744885920,6.53,20:03:00,1744934580,20.05,13.52,6,6,12,12,4,5,,,,,,6,1.9,3,0,,,,
